POS_1_X,POS_1_Y,READING_1,LINE,MARK,TIME,DATE
-111.2873213,35.3388012,49832.9,503,0,15:20:26,3/11/2017
-111.2873249,35.3387373,50272,503,24,15:20:50,3/11/2017
-111.2873352,35.3386564,50278,503,46,15:21:12,3/11/2017
-111.287353,35.3385768,50233,503,72,15:21:38,3/11/2017
-111.287433,35.3385848,50203,503,96,15:22:02,3/11/2017
-111.2874147,35.338633,50322.2,503,130,15:22:36,3/11/2017
-111.2874178,35.3386909,50355.2,503,153,15:22:59,3/11/2017
-111.2874073,35.3387561,50167.1,503,178,15:23:24,3/11/2017
-111.2874372,35.3388358,49664.8,503,208,15:23:54,3/11/2017
-111.2874358,35.3388982,49290.7,503,235,15:24:21,3/11/2017
-111.2874493,35.3389577,49185.6,503,258,15:24:44,3/11/2017
-111.287449,35.339019,49069.9,503,280,15:25:06,3/11/2017
-111.2874573,35.3390828,49047,503,333,15:25:59,3/11/2017
-111.287465,35.339137,48990.5,503,363,15:26:29,3/11/2017
-111.2875366,35.3391341,49019,503,393,15:26:59,3/11/2017
-111.2875414,35.3390626,49117.3,503,434,15:27:40,3/11/2017
-111.2875371,35.3390143,49041.1,503,457,15:28:03,3/11/2017
-111.2875152,35.3389533,49110.7,503,486,15:28:32,3/11/2017
-111.2875102,35.3388993,49229.3,503,521,15:29:07,3/11/2017
-111.2875071,35.3388369,49536.1,503,555,15:29:41,3/11/2017
-111.2874891,35.3387602,49993.7,503,604,15:30:30,3/11/2017
-111.2874893,35.3386781,50363.9,503,645,15:31:11,3/11/2017
-111.2874796,35.3386084,50291.5,503,693,15:31:59,3/11/2017
-111.2875172,35.3385509,50176.6,503,730,15:32:36,3/11/2017
-111.2875665,35.3385584,50185.6,503,785,15:33:31,3/11/2017
-111.2875841,35.3386027,50234.3,503,817,15:34:03,3/11/2017
-111.2875907,35.3386584,50211.9,503,846,15:34:32,3/11/2017
-111.2875746,35.3387255,50072.3,503,877,15:35:03,3/11/2017
-111.2875877,35.338803,49803.4,503,923,15:35:49,3/11/2017
